abkh1242,Abkhaz-Adyge
abun1252,Abun
afro1255,Afro-Asiatic
ainu1252,Ainu
algi1248,Algic
alse1251,Alsea-Yaquina
ando1256,Andoque
anga1289,Angan
anim1240,Anim
arau1255,Araucanian
araw1281,Arawakan
araw1282,Arawan
atak1252,Atakapa
atha1245,Athabaskan-Eyak-Tlingit
atla1278,Atlantic
atla1278,Atlantic-Congo
aust1305,Austroasiatic
aust1307,Austronesian
ayma1253,Aymaran
bain1263,Baining
bang1363,Bangime
bang1363,Isolate
barb1265,Barbacoan
basq1248,Basque
bert1248,Berta
bilu1245,Bilua
bira1253,Ongota
book1242,Sino-Tibetan
book1242,Turkic
bora1262,Boran
bord1247,Border
boro1281,Bororoan
bosa1245,Bosavi
buna1274,Bunaban
buru1296,Burushaski
cadd1255,Caddoan
cahu1265,Cahuapanan
cams1241,Camsá
cand1248,Candoshi-Shapra
cari1283,Cariban
cayu1262,Cayubaba
cent2225,Central Sudanic
chap1271,Chapacuran
chib1249,Chibchan
chim1311,Chimakuan
chin1490,Chinookan
choc1280,Chocoan
chon1288,Chonan
chuk1271,Chukotko-Kamchatkan
chum1262,Chumashan
coch1271,Cochimi-Yuman
cofa1242,Cofán
daga1274,Dagan
daju1249,Dajuic
dizo1235,Dizoid
dogo1299,Dogon
drav1251,Dravidian
east1459,East Bird's Head
east2386,Eastern Jebel
east2503,Eastern Trans-Fly
elam1244,Elamite
eski1264,Eskimo-Aleut
Family,Family_Name
fasu1242,Fasu
fuyu1242,Fuyug
gaga1251,Gaagudju
garr1260,Garrwan
geel1240,Geelvink Bay
gong1255,Ta-Ne-Omotic
grea1241,Great Andamanese
guah1252,Guahiboan
guai1249,Guaicuruan
gumu1250,Gumuz
gunw1250,Gunwinyguan
hadz1240,Hadza
haid1248,Haida
hara1260,Harakmbut
hata1242,Hatam-Mansim
heib1242,Heibanic
hmon1336,Hmong-Mien
hrus1242,Hruso
hrus1242,Sino-Tibetan
huav1256,Huavean
huit1251,Huitotoan
ijoi1239,Ijoid
indo1319,Indo-European
iroq1247,Iroquoian
iton1250,Itonama
iwai1246,Iwaidjan Proper
japo1237,Japonic
jarr1235,Jarrakan
jiva1245,Chicham
kadu1256,Kadugli-Krongo
kaki1249,Kaki Ae
kaku1242,Kakua-Nukak
kano1245,Kanoê
karo1304,Karuk
kart1248,Kartvelian
katl1246,Katla-Tima
kaur1274,Kaure-Kosare
kawe1237,Kawesqar
kehu1238,Kehu
khoe1240,Khoe-Kwadi
kiow1265,Kiowa-Tanoan
kiwa1251,Kiwaian
klam1254,Klamath-Modoc
koia1260,Koiarian
koma1264,Koman
kore1284,Koreanic
krua1234,Kru
kuli1252,Kuliak
kunz1244,Kunza
kuot1243,Kuot
kusu1250,Kusunda
kwal1257,Kwalean
kwaz1243,Kwaza
kxaa1236,Kxa
lake1255,Lakes Plain
lavu1241,Lavukaleve
left1242,Left May
leng1261,Enlhet-Enenlhet
leng1261,Lengua-Mascoy
limi1242,Limilngan-Wulna
lowe1423,Lower Sepik
lule1238,Lule
lule1238,Lule-Vilela
maba1274,Maban
maid1262,Maiduan
mail1249,Mailuan
mand1469,Mande
mang1423,Mangarrayi-Maran
mani1293,Maningrida
manu1261,Manubaran
maoo1243,Blue Nile Mao
mata1289,Matacoan
maya1287,Mayan
mayb1237,Maybrat-Karon
mirn1241,Mirndi
misu1242,Misumalpan
miwo1274,Miwok-Costanoan
mixe1284,Mixe-Zoque
mong1349,Mongolic
mong1349,Mongolic-Khitan
mose1249,Mosetén-Chimané
movi1243,Movima
muni1258,Muniche
musk1252,Muskogean
nada1235,Naduhup
nakh1245,Nakh-Daghestanian
namb1299,Nambiquaran
nara1262,Nara
natc1249,Natchez
nduu1242,Ndu
nilo1247,Nilotic
nivk1234,Nivkh
nort2923,North Halmahera
nort2933,North Bougainville
nubi1251,Nubian
nucl1580,Eleman
nucl1708,Nuclear Torricelli
nucl1709,Nuclear Trans New Guinea
nucl1710,Nuclear-Macro-Je
nyul1248,Nyulnyulan
otom1299,Otomanguean
paez1247,Páez
paho1240,Pahoturi
pala1350,Palaihnihan
pama1250,Pama-Nyungan
pano1259,Pano-Tacanan
pawa1255,Pawaia
peba1241,Peba-Yagua
pele1245,Pele-Ata
pira1253,Pirahã
pomo1273,Pomoan
puel1244,Puelche
puin1248,Puinave
pume1238,Pumé
quec1387,Quechuan
saha1239,Sahaptian
saha1256,Saharan
sali1253,Salinan
sali1255,Salishan
sali1297,Saliban
sand1273,Sandawe
savo1255,Savosavo
sena1264,Senagi
sent1261,Sentanic
sepi1257,Sepik
seri1257,Seri
shom1245,Shom Peng
sino1245,Sino-Tibetan
siou1252,Siouan
skoo1245,Sko
song1307,Songhai
song1307,Songhay
